,Issuer Name,Insured Bonds,State Code,Mod Dur (Mid),Iss Spd Wst,Issue Date,Cpn,Maturity,Mty Size,Yield at Issue,YTW Sprd to Mty at Iss,MSRB Volume,BBG Composite,LQA Score,County,USPS,NAME,INTPTLAT,INTPTLONG                                                                                                               
13,New York State Environmental Facilities Corp,N,NY,1.785985605,7.097480894,4/13/2017,5,6/15/2024,21670000,2.09,7.097480894,150000,AAA,87,Albany,NY,Albany,42.58824,-73.97401
14,County of Union NC Enterprise System Revenue,N,NC,2.638352222,6.7582626,8/30/2017,5,6/1/2025,2190000,1.63,6.7582626,500000,AA,67,Union,NC,Union,34.99182,-80.530426
15,Trinity River Authority Central Regional Wastewater System Revenue,N,TX,3.656343029,20.20897127,5/1/2017,5,8/1/2026,6625000,2.28,20.20897127,395000,AAA,74,Tarrant,TX,Tarrant,32.772119,-97.291224
16,Padre Dam Municipal Water District,N,CA,1.115235073,3.6816981,6/15/2017,5,10/1/2023,1690000,1.42,3.6816981,5000,AA+,77,San Diego,CA,San Diego,33.023604,-116.776117
17,New York State Environmental Facilities Corp,N,NY,4.35221962,6.457227007,4/13/2017,5,6/15/2027,21210000,2.48,6.457227007,25000,AAA,70,Albany,NY,Albany,42.58824,-73.97401
18,State of Connecticut Clean Water Fund - State Revolving Fund,N,CT,1.663023357,11.21281872,6/15/2017,5,5/1/2024,9390000,1.57,11.21281872,80000,AAA,77,Hartford,CT,Hartford,41.806053,-72.732916
19,State of Connecticut Clean Water Fund - State Revolving Fund,N,CT,3.411931857,17.03492591,6/15/2017,5,5/1/2026,10905000,1.93,17.03492591,100000,AAA,63,Hartford,CT,Hartford,41.806053,-72.732916
20,Illinois Finance Authority,N,IL,0.411565279,20.56929378,9/12/2017,5,1/1/2023,15750000,1.4,20.56929378,4040000,AAA,92,Cook,IL,Cook,41.894294,-87.645455
21,Texas Water Development Board,N,TX,3.366495489,18.39928219,10/12/2017,5,4/15/2026,21395000,1.94,18.39928219,175000,AAA,80,Travis,TX,Travis,30.239513,-97.69127
22,County of Anne Arundel MD,N,MD,3.744706527,2.851922715,4/12/2017,5,10/1/2026,2125000,2.25,2.851922715,450000,AAA,79,Anne Arundel,MD,Anne Arundel,38.991617,-76.560894
23,State of California,N,CA,0.246775748,16.99971901,9/12/2017,5,11/1/2022,45000000,1.34,16.99971901,310000,AA-,97,Sacramento,CA,Sacramento,38.450136,-121.344329
24,City of San Francisco CA Public Utilities Commission Water Revenue,N,CA,2.116346895,-7.81500274,12/13/2017,5,11/1/2024,2570000,1.89,-7.81500274,700000,AA-,82,San Francisco,CA,San Francisco,37.727239,-123.032229
25,State of Connecticut Clean Water Fund - State Revolving Fund,N,CT,4.226918622,17.24933066,6/15/2017,5,5/1/2027,8675000,2.05,17.24933066,100000,AAA,32,Hartford,CT,Hartford,41.806053,-72.732916
26,New York State Environmental Facilities Corp,N,NY,3.536999203,0.43429589,12/14/2017,5,6/15/2026,7615000,2.09,0.43429589,550000,AAA,76,Albany,NY,Albany,42.58824,-73.97401
27,Yorba Linda Water District,N,CA,1.117664904,2.678780953,5/11/2017,5,10/1/2023,1045000,1.65,2.678780953,450000,AA+,78,Orange,CA,Orange,33.675687,-117.777207
28,County of Greene OH,N,OH,0.329330991,10.72867306,9/28/2017,2,12/1/2022,350000,1.3,10.72867306,200000,,89,Greene,OH,Greene,39.687479,-83.894894
29,City of Miami Beach FL Water & Sewer Revenue,N,FL,4.459769469,26.15151233,12/14/2017,5,9/1/2027,4180000,2.48,26.15151233,700000,AA-,55,Dade,FL,Miami-Dade County,25.616009,-80.50375
30,City of Hagerstown MD,N,MD,4.401462324,65.43040287,6/1/2017,3.25,6/1/2027,75000,3,65.43040287,30000,AA-,55,Washington,MD,Washington,39.603621,-77.814671
31,State of California,N,CA,3.888895899,23.73223433,9/12/2017,4,11/1/2026,10565000,1.98,23.73223433,130000,AA-,68,Sacramento,CA,Sacramento,38.450136,-121.344329
32,California Infrastructure & Economic Development Bank,N,CA,2.908660554,3.449717681,3/23/2017,5,10/1/2025,26860000,2.14,3.449717681,120000,AAA,80,Sacramento,CA,Sacramento,38.450136,-121.344329
33,Trinity River Authority Central Regional Wastewater System Revenue,N,TX,1.9384791,30.15637382,5/1/2017,3,8/1/2024,14380000,2.08,30.15637382,200000,AAA,82,Tarrant,TX,Tarrant,32.772119,-97.291224
34,Fairfax County Water Authority,N,VA,2.473573665,-2.464421513,3/1/2017,5,4/1/2025,5795000,2.03,-2.464421513,155000,AAA,83,Fairfax,VA,Fairfax,38.82952,-77.273252
35,State of Rhode Island,N,RI,3.409868128,24.46225655,5/9/2017,5,5/1/2026,4180000,2.24,24.46225655,200000,AA,66,Providence,RI,Providence,41.869768,-71.578625
36,City of Tomah WI,Y,WI,0.568519615,20.66946485,3/30/2017,3,3/1/2023,330000,2.1,20.66946485,350000,AA-,91,Monroe,WI,Monroe,43.945175,-90.619969
37,Illinois Finance Authority,N,IL,2.277513374,27.9725854,9/12/2017,5,1/1/2025,16835000,1.77,27.9725854,30000,AAA,82,Cook,IL,Cook,41.894294,-87.645455
38,California Infrastructure & Economic Development Bank,N,CA,0.163501241,-8.413371186,3/23/2017,5,10/1/2022,26725000,1.55,-8.413371186,80000,AAA,99,Sacramento,CA,Sacramento,38.450136,-121.344329
39,Los Angeles Department of Water & Power Water System Revenue,N,CA,3.578000715,11.93522406,5/11/2017,5,7/1/2026,10880000,2.16,11.93522406,20000,AA,72,Los Angeles,CA,Los Angeles,34.196398,-118.261862
40,California Infrastructure & Economic Development Bank,N,CA,2.031379138,1.147848427,3/23/2017,5,10/1/2024,40840000,1.97,1.147848427,15000,AAA,88,Sacramento,CA,Sacramento,38.450136,-121.344329
41,City of Tulare CA Water Revenue,Y,CA,1.291402756,12.08160548,12/6/2017,4,12/1/2023,380000,1.75,12.08160548,420000,,72,#N/A Field Not Applicable,CA,Tulare County,36.228834,-118.781055
42,City of McKinney TX Waterworks & Sewer System Revenue,N,TX,3.280837571,23.61168963,8/1/2017,5,3/15/2026,2905000,1.97,23.61168963,260000,AA+,77,Collin,TX,Collin,33.194494,-96.579428
43,State of California,N,CA,1.207203265,17.40207447,9/12/2017,4,11/1/2023,26695000,1.49,17.40207447,10000,AA-,89,Sacramento,CA,Sacramento,38.450136,-121.344329
44,City of Mesa AZ Utility System Revenue,N,AZ,1.82696091,12.54784072,5/24/2017,5,7/1/2024,2500000,1.89,12.54784072,60000,AA-,87,Maricopa,AZ,Maricopa,33.345176,-112.49893
45,Clark County Public Utility District No 1,N,WA,0.411589507,23.13563801,3/30/2017,5,1/1/2023,2290000,2.03,23.13563801,280000,AA-,95,Clark,WA,Clark,45.77173,-122.485953
46,Town of North Hempstead NY,N,NY,2.053744922,1.121135911,9/27/2017,2,9/15/2024,1090000,1.51,1.121135911,100000,,70,Nassau,NY,Nassau,40.729612,-73.589414
47,Santa Clara Valley Water District,N,CA,1.449564563,0.539953888,3/7/2017,5,2/1/2024,4575000,1.9,0.539953888,10000,AA+,84,Santa Clara,CA,Santa Clara,37.221614,-121.68954
48,Town of Hempstead NY,Y,NY,2.501580215,29.89692583,4/13/2017,4,4/1/2025,6320000,2.29,29.89692583,50000,,78,Nassau,NY,Nassau,40.729612,-73.589414
49,Collin County Water Control & Improvement District No 3,N,TX,4.670799926,131.2232389,9/15/2017,3,9/15/2027,165000,3.1,131.2232389,400000,,41,Collin,TX,Collin,33.194494,-96.579428
50,Town of Hempstead NY,Y,NY,0.650055189,22.56781512,4/13/2017,4,4/1/2023,5835000,1.89,22.56781512,100000,,98,Nassau,NY,Nassau,40.729612,-73.589414
51,City of Mesquite TX Waterworks & Sewer System Revenue,N,TX,0.567320847,24.04020705,5/1/2017,4,3/1/2023,735000,1.76,24.04020705,225000,AA,96,Dallas,TX,Dallas,32.766987,-96.778424
52,East Bay Municipal Utility District Water System Revenue,N,CA,4.390196455,-1.140005092,6/22/2017,4,6/1/2027,5000000,1.82,-1.140005092,10000,AA+,48,San Mateo,CA,San Mateo,37.414672,-122.371546
53,City of Wichita KS Water & Sewer Utility Revenue,N,KS,4.537076464,20.31342714,6/1/2017,5,10/1/2027,3305000,2.38,20.31342714,240000,,57,Sedgwick,KS,Sedgwick,37.681045,-97.461054
54,Mesa Water District,N,CA,1.535746534,-2.367205372,6/21/2017,5,3/15/2024,3605000,1.45,-2.367205372,50000,AAA,73,Orange,CA,Orange,33.675687,-117.777207
55,New York State Environmental Facilities Corp,N,NY,2.347284574,-1.482471233,11/9/2017,5,2/15/2025,1840000,1.63,-1.482471233,40000,AAA,82,Albany,NY,Albany,42.58824,-73.97401
56,Massachusetts Clean Water Trust/The,N,MA,0.494000655,3.976910687,4/13/2017,5,2/1/2023,7670000,1.7,3.976910687,15000,AAA,96,Suffolk,MA,Suffolk,42.338551,-71.018253
57,Tulsa Metropolitan Utility Authority,N,OK,0.494113156,21.26632207,2/3/2017,3,2/1/2023,1940000,2.05,21.26632207,200000,AA+,87,Tulsa,OK,Tulsa,36.120318,-95.941813
58,Los Angeles Department of Water & Power Water System Revenue,N,CA,2.719577971,9.846285959,5/11/2017,5,7/1/2025,4975000,2,9.846285959,30000,AA,77,Los Angeles,CA,Los Angeles,34.196398,-118.261862
59,Illinois Finance Authority,N,IL,3.153802797,33.47934298,9/12/2017,5,1/1/2026,16555000,1.97,33.47934298,20000,AAA,76,Cook,IL,Cook,41.894294,-87.645455
60,Trinity River Authority Central Regional Wastewater System Revenue,N,TX,2.861523436,36.19395477,5/1/2017,3,8/1/2025,14720000,2.3,36.19395477,35000,AAA,72,Tarrant,TX,Tarrant,32.772119,-97.291224
61,Town of Holden MA,N,MA,0.851402909,6.389728026,6/15/2017,5,6/15/2023,315000,1.4,6.389728026,100000,,93,Worcester,MA,Worcester,42.311693,-71.940282
62,City of Salt Lake City UT Public Utilities Revenue,N,UT,3.2329844,15.36805436,4/5/2017,5,2/1/2026,3350000,2.31,15.36805436,50000,AA+,77,#N/A Field Not Applicable,UT,Salt Lake County,40.667883,-111.92424
63,Village of Naplate IL,N,IL,0.324242667,136.9885552,4/11/2017,4.75,12/1/2022,10000,3,136.9885552,40000,,92,La Salle,IL,LaSalle County,41.343341,-88.885931
64,City of Woodbury NJ,N,NJ,4.384332827,37.94716775,6/7/2017,3,5/1/2027,950000,2.35,37.94716775,30000,,40,Gloucester,NJ,Gloucester,39.722875,-75.145679
65,State of California,N,CA,4.630764978,24.88361372,9/12/2017,5,11/1/2027,36000000,2.1,24.88361372,115000,AA-,67,Sacramento,CA,Sacramento,38.450136,-121.344329
66,San Luis Water District,N,CA,0.978020241,39.6943856,6/22/2017,5,8/1/2023,2400000,1.7,39.6943856,600000,,83,Merced,CA,Merced,37.194806,-120.722802
67,Fairfax County Water Authority,N,VA,3.323829547,-1.382779484,3/1/2017,5,4/1/2026,10265000,2.17,-1.382779484,30000,AAA,77,Fairfax,VA,Fairfax,38.82952,-77.273252
68,Illinois Finance Authority,N,IL,1.827309224,25.51795158,9/12/2017,5,7/1/2024,16745000,1.67,25.51795158,125000,AAA,85,Cook,IL,Cook,41.894294,-87.645455
69,City of Temple TX,N,TX,1.908902821,17.49136438,11/8/2017,5,8/1/2024,1300000,1.75,17.49136438,50000,,84,Bell,TX,Bell,31.04275,-97.481268
70,County of Anne Arundel MD,N,MD,2.033129274,6.679443907,4/12/2017,5,10/1/2024,2125000,2.01,6.679443907,40000,AAA,88,Anne Arundel,MD,Anne Arundel,38.991617,-76.560894
71,City of Norfolk VA,N,VA,1.036946397,9.762191781,12/5/2017,5,9/1/2023,5510000,1.7,9.762191781,20000,AA+,90,Norfolk,VA,Norfolk,36.923015,-76.244641
72,City of Chandler AZ Excise Tax Revenue,N,AZ,0.895412704,3.38709589,12/19/2017,5,7/1/2023,1185000,1.78,3.38709589,400000,AA+,92,Maricopa,AZ,Maricopa,33.345176,-112.49893
73,City of Galveston TX,N,TX,4.303760948,48.25556604,2/15/2017,4,5/1/2027,845000,2.82,48.25556604,100000,AA-,60,Galveston,TX,Galveston,29.233453,-94.888456
74,Texas Water Development Board,N,TX,1.619326502,15.74648493,10/12/2017,5,4/15/2024,26100000,1.64,15.74648493,40000,AAA,92,Travis,TX,Travis,30.239513,-97.69127
75,Casitas Municipal Water District,N,CA,1.041700838,48.32910324,5/31/2017,4,9/1/2023,395000,2.07,48.32910324,60000,,85,Ventura,CA,Ventura,34.358748,-119.133145
76,Town of Plymouth MA,N,MA,0.730924304,18.58156773,5/4/2017,5,5/1/2023,2810000,1.71,18.58156773,40000,AA,92,Plymouth,MA,Plymouth,41.987196,-70.741942
77,City of Herculaneum MO,N,MO,0.202101852,45.0916855,9/28/2017,3,10/15/2022,415000,1.65,45.0916855,540000,,99,Jefferson,MO,Jefferson,38.25763,-90.543681
78,City of Charlottesville VA,N,VA,3.234834198,-6.740063499,6/29/2017,2,12/15/2025,690000,1.64,-6.740063499,440000,AAA,53,Charlottesville,VA,Charlottesville,38.037658,-78.485381
79,Fairfax County Water Authority,N,VA,0.645841651,-5.22841387,3/1/2017,5,4/1/2023,5260000,1.7,-5.22841387,30000,AAA,96,Fairfax,VA,Fairfax,38.82952,-77.273252
80,City of Temple TX Utility System Revenue,N,TX,3.65018485,29.39151878,9/12/2017,5,8/1/2026,1525000,2.02,29.39151878,25000,,70,Bell,TX,Bell,31.04275,-97.481268
81,Opelika Utilities Board,N,AL,4.380665498,53.52423648,8/30/2017,4,6/1/2027,215000,2.37,53.52423648,100000,A+,25,Lee,AL,Lee,32.604064,-85.353048
82,Texas Water Development Board,N,TX,0.684300386,15.67023288,10/12/2017,5,4/15/2023,24560000,1.5,15.67023288,60000,AAA,98,Travis,TX,Travis,30.239513,-97.69127
83,South Dakota Conservancy District,N,SD,2.802837133,5.924832457,8/23/2017,5,8/1/2025,4395000,1.72,5.924832457,50000,AAA,67,Hughes,SD,Hughes,44.384452,-99.975684
84,Town of Reading MA,N,MA,1.798843334,1.215996739,6/30/2017,4,6/15/2024,715000,1.51,1.215996739,90000,,89,Middlesex,MA,Middlesex,42.481718,-71.394916
85,Town of Orleans MA,N,MA,1.987102017,1.109816438,11/16/2017,5,9/15/2024,1535000,1.68,1.109816438,170000,,86,Barnstable,MA,Barnstable,41.706123,-70.164823
86,City of Waco TX,N,TX,1.448121831,27.44598099,4/1/2017,5,2/1/2024,1480000,2.32,27.44598099,110000,AA+,73,McLennan,TX,McLennan,31.549596,-97.201511
87,State of Vermont,N,VT,1.905255867,4.721416931,9/13/2017,5,8/15/2024,3065000,1.5,4.721416931,50000,AA+,88,Washington,VT,Washington,44.274969,-72.609444
88,Charter Township of Lyon MI,N,MI,0.736098343,19.47649803,8/31/2017,2,5/1/2023,725000,1.45,19.47649803,20000,,82,Oakland,MI,Oakland,42.660452,-83.38421
89,Eufaula Water Works & Sewer Board,Y,AL,1.604037262,42.09523662,3/30/2017,3,4/1/2024,320000,2.3,42.09523662,260000,,87,Barbour,AL,Barbour,31.870253,-85.405104
90,New York State Environmental Facilities Corp,N,NY,4.354223483,6.019161644,12/14/2017,5,6/15/2027,8015000,2.22,6.019161644,80000,AAA,70,Albany,NY,Albany,42.58824,-73.97401
91,Village of Sands Point NY,N,NY,0.329680529,0.213027397,12/14/2017,2,12/1/2022,240000,1.72,0.213027397,100000,,94,Nassau,NY,Nassau,40.729612,-73.589414
92,Town of Plymouth MA,N,MA,3.407533231,21.46225655,5/4/2017,5,5/1/2026,2930000,2.21,21.46225655,50000,AA,78,Plymouth,MA,Plymouth,41.987196,-70.741942
93,Town of Holden MA,N,MA,2.674012272,-2.276839174,6/15/2017,5,6/15/2025,315000,1.63,-2.276839174,15000,,79,Worcester,MA,Worcester,42.311693,-71.940282
94,City of Rockville MD,N,MD,2.665937214,3.427230682,7/11/2017,4,6/1/2025,510000,1.64,3.427230682,420000,AAA,76,Montgomery,MD,Montgomery,39.137381,-77.203063
95,City of Richland WA Waterworks Utility Revenue,N,WA,3.876769302,28.78483622,6/22/2017,4,11/1/2026,555000,2.06,28.78483622,20000,,57,Benton,WA,Benton,46.228125,-119.516659
96,Town of Mattapoisett MA,N,MA,0.991825526,-8.520791069,8/18/2017,5,8/15/2023,490000,1.28,-8.520791069,15000,,95,Plymouth,MA,Plymouth,41.987196,-70.741942
97,State of Connecticut Clean Water Fund - State Revolving Fund,N,CT,0.730975824,12.13201061,6/15/2017,4,5/1/2023,2200000,1.42,12.13201061,50000,AAA,86,Hartford,CT,Hartford,41.806053,-72.732916
98,New York State Environmental Facilities Corp,N,NY,3.528704538,8.547381802,4/13/2017,5,6/15/2026,20455000,2.39,8.547381802,100000,AAA,75,Albany,NY,Albany,42.58824,-73.97401
99,Town of Mount Pleasant NY,N,NY,1.606861496,11.41831217,4/12/2017,3,4/1/2024,595000,2,11.41831217,80000,,77,Westchester,NY,Westchester,41.152686,-73.745753
100,City of Trenton NJ,Y,NJ,3.382018807,74.03479274,6/13/2017,3,3/15/2026,1120000,2.5,74.03479274,50000,AA-,48,Mercer,NJ,Mercer,40.282503,-74.703724
101,State of Rhode Island,N,RI,2.557510974,25.02285081,5/9/2017,5,5/1/2025,3980000,2.1,25.02285081,25000,AA,74,Providence,RI,Providence,41.869768,-71.578625
102,Discovery Bay Public Financing Authority,N,CA,4.707629062,25.12211338,4/19/2017,5,12/1/2027,250000,2.54,25.12211338,,,54,#N/A Field Not Applicable,CA,Contra Costa County,37.919479,-121.951543
103,City of Brookfield WI,N,WI,3.197169963,5.531479362,6/5/2017,2,12/1/2025,340000,1.85,5.531479362,150000,,59,Waukesha,WI,Waukesha,43.018368,-88.30424
104,City of Baltimore MD,N,MD,3.569286365,36.56734501,2/9/2017,5,7/1/2026,3730000,2.69,36.56734501,30000,A+,77,Baltimore City,MD,Baltimore city,39.300032,-76.610476
105,City of Hutto TX,N,TX,0.493049869,25.22613511,6/29/2017,5,2/1/2023,1065000,1.55,25.22613511,20000,,94,Williamson,TX,Williamson,30.649082,-97.605065
106,City of San Francisco CA Public Utilities Commission Water Revenue,N,CA,0.246739328,-6.763986301,12/13/2017,5,11/1/2022,2835000,1.71,-6.763986301,175000,AA-,97,San Francisco,CA,San Francisco,37.727239,-123.032229
107,Clark County Public Utility District No 1,N,WA,1.368337425,31.72487378,3/30/2017,5,1/1/2024,2405000,2.28,31.72487378,50000,AA-,87,Clark,WA,Clark,45.77173,-122.485953
108,Mesa Water District,N,CA,0.603162443,-0.388596514,6/21/2017,5,3/15/2023,3385000,1.31,-0.388596514,200000,AAA,86,Orange,CA,Orange,33.675687,-117.777207
109,City of Miami Beach FL Water & Sewer Revenue,N,FL,0.080501188,20.04345205,12/14/2017,5,9/1/2022,1405000,1.96,20.04345205,50000,AA-,98,Dade,FL,Miami-Dade County,25.616009,-80.50375
110,New York State Environmental Facilities Corp,N,NY,0.999980576,0.815945205,11/9/2017,4,8/15/2023,1015000,1.46,0.815945205,60000,AAA,92,Albany,NY,Albany,42.58824,-73.97401
111,Springfield Water & Sewer Commission/MA,N,MA,2.506394584,10.14765204,7/14/2017,5,4/15/2025,1055000,1.73,10.14765204,40000,,83,Hampden,MA,Hampden,42.136198,-72.635648
112,City of Norfolk VA,N,VA,1.950951481,8.346947945,12/5/2017,5,9/1/2024,5510000,1.79,8.346947945,15000,AA+,85,Norfolk,VA,Norfolk,36.923015,-76.244641
113,Padre Dam Municipal Water District,N,CA,0.16363443,6.563986813,6/15/2017,5,10/1/2022,1610000,1.29,6.563986813,30000,AA+,95,San Diego,CA,San Diego,33.023604,-116.776117
114,Utah Water Finance Agency,N,UT,2.386011919,18.30081018,7/20/2017,5,3/1/2025,3475000,1.78,18.30081018,20000,AA,74,Salt Lake,UT,Salt Lake,40.667883,-111.92424
115,Colorado Water Resources & Power Development Authority,N,CO,4.461957868,-0.15169589,11/15/2017,5,9/1/2027,735000,2,-0.15169589,30000,AAA,68,Denver,CO,Denver,39.76185,-104.881105
116,Los Angeles Department of Water & Power Water System Revenue,N,CA,0.893825044,1.743587821,5/11/2017,5,7/1/2023,5245000,1.6,1.743587821,25000,AA,90,Los Angeles,CA,Los Angeles,34.196398,-118.261862
117,Santa Clara Valley Water District,N,CA,0.493889083,-2.860715363,3/7/2017,5,2/1/2023,4350000,1.71,-2.860715363,100000,AA+,93,Santa Clara,CA,Santa Clara,37.221614,-121.68954
118,City of Burlington VT Waterworks System Revenue,N,VT,2.136443748,44.93664581,6/6/2017,4,11/1/2024,140000,2.08,44.93664581,10000,,70,Chittenden,VT,Chittenden,44.463329,-73.06941
119,Town of Cary NC Combined Utility Systems Revenue,N,NC,2.199672639,12.91081447,3/16/2017,5,12/1/2024,995000,2.12,12.91081447,40000,AAA,82,Wake,NC,Wake,35.789846,-78.650624
120,Fairfax County Water Authority,N,VA,1.581906103,-4.62471896,3/1/2017,5,4/1/2024,5530000,1.86,-4.62471896,40000,AAA,89,Fairfax,VA,Fairfax,38.82952,-77.273252
121,Texas Water Development Board,N,TX,0.201735887,32.38623137,10/12/2017,2.2,10/15/2022,530000,2.2,32.38623137,50000,AAA,97,Travis,TX,Travis,30.239513,-97.69127
122,City of Buda TX,N,TX,2.778741436,12.33138904,12/6/2017,5,8/15/2025,915000,1.87,12.33138904,25000,,74,Hays,TX,Hays,30.061225,-98.029267
123,City of Manvel TX,N,TX,2.372271435,18.76489863,12/15/2017,4,2/15/2025,155000,2.1,18.76489863,20000,,72,Brazoria,TX,Brazoria,29.167817,-95.434647
124,Illinois Finance Authority,N,IL,1.365202239,24.9208749,9/12/2017,5,1/1/2024,16585000,1.59,24.9208749,5000,AAA,89,Cook,IL,Cook,41.894294,-87.645455
125,County of Union NC Enterprise System Revenue,N,NC,0.813387229,7.24119834,8/30/2017,5,6/1/2023,1985000,1.33,7.24119834,20000,AA,85,Union,NC,Union,34.99182,-80.530426
126,Board of Water Commissioners City & County of Denver/The,N,CO,1.074854947,2.702133959,5/23/2017,5,9/15/2023,2615000,1.62,2.702133959,40000,AAA,97,Denver,CO,Denver,39.76185,-104.881105
127,Trinity River Authority Central Regional Wastewater System Revenue,N,TX,0.980460988,26.6322746,5/1/2017,3,8/1/2023,13995000,1.88,26.6322746,20000,AAA,94,Tarrant,TX,Tarrant,32.772119,-97.291224
128,Chester Metropolitan District,Y,SC,0.815554533,21.73521483,3/8/2017,3,6/1/2023,430000,2,21.73521483,20000,,91,Chester,SC,Chester,34.689342,-81.161249
129,Trinity River Authority Central Regional Wastewater System Revenue,N,TX,0.005557139,10.02697525,5/1/2017,5,8/1/2022,10785000,1.55,10.02697525,25000,AAA,99,Tarrant,TX,Tarrant,32.772119,-97.291224
130,City of St Robert MO Waterworks & Sewerage System Revenue,Y,MO,0.246576347,49.22493687,6/28/2017,1.75,11/1/2022,55000,1.75,49.22493687,,,93,Pulaski,MO,Pulaski,37.824835,-92.207022
131,City of Abilene TX,N,TX,1.45488101,22.0164602,7/1/2017,5,2/15/2024,745000,1.67,22.0164602,40000,AA+,83,Taylor,TX,Taylor,32.297126,-99.89043
132,City of Baltimore MD,N,MD,2.717064993,34.75416474,2/9/2017,5,7/1/2025,3555000,2.56,34.75416474,35000,A+,80,Baltimore City,MD,Baltimore city,39.300032,-76.610476
133,City of Fort Worth TX Water & Sewer System Revenue,N,TX,0.52012849,10.29881552,5/15/2017,5,2/15/2023,1855000,1.46,10.29881552,60000,AA,99,Tarrant,TX,Tarrant,32.772119,-97.291224
134,City of Irving TX Waterworks & Sewer System Revenue,N,TX,0.036103869,22.06561646,4/4/2017,5,8/15/2022,780000,1.88,22.06561646,10000,AA,95,Dallas,TX,Dallas,32.766987,-96.778424
135,Massachusetts Water Resources Authority,N,MA,3.661244414,15.0343282,5/18/2017,5,8/1/2026,2345000,2.2,15.0343282,1945000,AA+,77,Suffolk,MA,Suffolk,42.338551,-71.018253
136,Tulsa Metropolitan Utility Authority,N,OK,2.399880646,27.05571565,2/3/2017,3,2/1/2025,1990000,2.38,27.05571565,50000,AA+,55,Tulsa,OK,Tulsa,36.120318,-95.941813
137,State of Rhode Island,N,RI,4.233543368,23.67501982,5/9/2017,5,5/1/2027,4385000,2.35,23.67501982,60000,AA,60,Providence,RI,Providence,41.869768,-71.578625
138,City of Abilene TX,N,TX,2.346856569,21.34695024,7/1/2017,5,2/15/2025,785000,1.81,21.34695024,10000,AA+,77,Taylor,TX,Taylor,32.297126,-99.89043
139,Milwaukee Metropolitan Sewerage District,N,WI,1.120535574,7.697659743,6/12/2017,5,10/1/2023,3010000,1.54,7.697659743,50000,AA+,76,Milwaukee,WI,Milwaukee,42.912643,-87.862312
140,Iowa Finance Authority,N,IA,3.657134119,14.21430685,12/14/2017,5,8/1/2026,17620000,2.19,14.21430685,75000,AAA,76,Polk,IA,Polk,41.684816,-93.568971
141,State of Vermont,N,VT,2.782823445,-0.608047653,9/13/2017,5,8/15/2025,4315000,1.58,-0.608047653,300000,AA+,80,Washington,VT,Washington,44.274969,-72.609444
