,Issuer Name,Insured Bonds,Mod Dur (Mid),Iss Spd Wst,Issue Date,Cpn,Maturity,Mty Size,Yield at Issue,YTW Sprd to Mty at Iss,MSRB Volume,BBG Composite,LQA Score,County,State
28,County of Greene OH,N,0.32933099122149884,10.72867306144316,9/28/2017,2.0,12/1/2022,350000,1.3,10.72867306144316,200000.0,,89,Greene, OH
29,City of Miami Beach FL Water & Sewer Revenue,N,4.459769468510098,26.151512328767133,12/14/2017,5.0,9/1/2027,4180000,2.48,26.151512328767133,700000.0,AA-,55,Dade, FL
30,City of Hagerstown MD,N,4.401462323545945,65.43040286721423,6/1/2017,3.25,6/1/2027,75000,3.0,65.43040286721423,30000.0,AA-,55,Washington, MD
31,State of California,N,3.888895898814186,23.732234329489966,9/12/2017,4.0,11/1/2026,10565000,1.98,23.732234329489966,130000.0,AA-,68,Sacramento, CA
32,California Infrastructure & Economic Development Bank,N,2.908660553621883,3.449717680752684,3/23/2017,5.0,10/1/2025,26860000,2.14,3.449717680752684,120000.0,AAA,80,Sacramento, CA
33,Trinity River Authority Central Regional Wastewater System Revenue,N,1.938479099932716,30.156373819358183,5/1/2017,3.0,8/1/2024,14380000,2.08,30.156373819358183,200000.0,AAA,82,Tarrant, TX
34,Fairfax County Water Authority,N,2.473573665444904,-2.464421513032411,3/1/2017,5.0,4/1/2025,5795000,2.0300000000000002,-2.464421513032411,155000.0,AAA,83,Fairfax, VA
35,State of Rhode Island,N,3.409868127514633,24.46225655181071,5/9/2017,5.0,5/1/2026,4180000,2.24,24.46225655181071,200000.0,AA,66,Providence, RI
36,City of Tomah WI,Y,0.5685196145188925,20.669464846794973,3/30/2017,3.0,3/1/2023,330000,2.1,20.669464846794973,350000.0,AA-,91,Monroe, WI
37,Illinois Finance Authority,N,2.277513373840995,27.972585402920068,9/12/2017,5.0,1/1/2025,16835000,1.77,27.972585402920068,30000.0,AAA,82,Cook, IL
38,California Infrastructure & Economic Development Bank,N,0.16350124063345525,-8.413371186219099,3/23/2017,5.0,10/1/2022,26725000,1.55,-8.413371186219099,80000.0,AAA,99,Sacramento, CA
39,Los Angeles Department of Water & Power Water System Revenue,N,3.5780007149419673,11.93522406222658,5/11/2017,5.0,7/1/2026,10880000,2.16,11.93522406222658,20000.0,AA,72,Los Angeles, CA
40,California Infrastructure & Economic Development Bank,N,2.031379137968338,1.1478484270493583,3/23/2017,5.0,10/1/2024,40840000,1.97,1.1478484270493583,15000.0,AAA,88,Sacramento, CA
41,City of Tulare CA Water Revenue,Y,1.2914027560218435,12.081605479452051,12/6/2017,4.0,12/1/2023,380000,1.75,12.081605479452051,420000.0,,72,#N/A Field Not Applicable,
42,City of McKinney TX Waterworks & Sewer System Revenue,N,3.2808375709592306,23.611689627111886,8/1/2017,5.0,3/15/2026,2905000,1.97,23.611689627111886,260000.0,AA+,77,Collin, TX
43,State of California,N,1.2072032647568363,17.40207447472453,9/12/2017,4.0,11/1/2023,26695000,1.49,17.40207447472453,10000.0,AA-,89,Sacramento, CA
44,City of Mesa AZ Utility System Revenue,N,1.8269609098792856,12.5478407158226,5/24/2017,5.0,7/1/2024,2500000,1.8900000000000001,12.5478407158226,60000.0,AA-,87,Maricopa, AZ
45,Clark County Public Utility District No 1,N,0.4115895068691949,23.13563800773535,3/30/2017,5.0,1/1/2023,2290000,2.0300000000000002,23.13563800773535,280000.0,AA-,95,Clark, WA
46,Town of North Hempstead NY,N,2.0537449224314717,1.1211359113090014,9/27/2017,2.0,9/15/2024,1090000,1.51,1.1211359113090014,100000.0,,70,Nassau, NY
47,Santa Clara Valley Water District,N,1.44956456311406,0.5399538878794852,3/7/2017,5.0,2/1/2024,4575000,1.9000000000000001,0.5399538878794852,10000.0,AA+,84,Santa Clara, CA
48,Town of Hempstead NY,Y,2.5015802152823388,29.8969258330003,4/13/2017,4.0,4/1/2025,6320000,2.29,29.8969258330003,50000.0,,78,Nassau, NY
49,Collin County Water Control & Improvement District No 3,N,4.670799925865258,131.22323885937297,9/15/2017,3.0,9/15/2027,165000,3.1,131.22323885937297,400000.0,,41,Collin, TX
50,Town of Hempstead NY,Y,0.6500551890364399,22.567815115848887,4/13/2017,4.0,4/1/2023,5835000,1.8900000000000001,22.567815115848887,100000.0,,98,Nassau, NY
51,City of Mesquite TX Waterworks & Sewer System Revenue,N,0.5673208466348086,24.04020705267438,5/1/2017,4.0,3/1/2023,735000,1.76,24.04020705267438,225000.0,AA,96,Dallas, TX
52,East Bay Municipal Utility District Water System Revenue,N,4.390196454724085,-1.1400050915203241,6/22/2017,4.0,6/1/2027,5000000,1.82,-1.1400050915203241,10000.0,AA+,48,San Mateo, CA
53,City of Wichita KS Water & Sewer Utility Revenue,N,4.537076464077654,20.31342714158879,6/1/2017,5.0,10/1/2027,3305000,2.38,20.31342714158879,240000.0,,57,Sedgwick, KS
54,Mesa Water District,N,1.5357465336876042,-2.3672053724667075,6/21/2017,5.0,3/15/2024,3605000,1.45,-2.3672053724667075,50000.0,AAA,73,Orange, CA
55,New York State Environmental Facilities Corp,N,2.34728457411423,-1.4824712328767253,11/9/2017,5.0,2/15/2025,1840000,1.6300000000000001,-1.4824712328767253,40000.0,AAA,82,Albany, NY
56,Massachusetts Clean Water Trust/The,N,0.4940006546224814,3.9769106866969217,4/13/2017,5.0,2/1/2023,7670000,1.7000000000000002,3.9769106866969217,15000.0,AAA,96,Suffolk, MA
57,Tulsa Metropolitan Utility Authority,N,0.494113155740483,21.266322072192168,2/3/2017,3.0,2/1/2023,1940000,2.05,21.266322072192168,200000.0,AA+,87,Tulsa, OK
58,Los Angeles Department of Water & Power Water System Revenue,N,2.719577970982724,9.846285958701117,5/11/2017,5.0,7/1/2025,4975000,2.0,9.846285958701117,30000.0,AA,77,Los Angeles, CA
59,Illinois Finance Authority,N,3.153802796840264,33.47934298440873,9/12/2017,5.0,1/1/2026,16555000,1.97,33.47934298440873,20000.0,AAA,76,Cook, IL
60,Trinity River Authority Central Regional Wastewater System Revenue,N,2.861523436120801,36.193954766663495,5/1/2017,3.0,8/1/2025,14720000,2.3000000000000003,36.193954766663495,35000.0,AAA,72,Tarrant, TX
61,Town of Holden MA,N,0.8514029092305015,6.389728025986607,6/15/2017,5.0,6/15/2023,315000,1.4000000000000001,6.389728025986607,100000.0,,93,Worcester, MA
62,City of Salt Lake City UT Public Utilities Revenue,N,3.2329843995921808,15.368054355469596,4/5/2017,5.0,2/1/2026,3350000,2.31,15.368054355469596,50000.0,AA+,77,#N/A Field Not Applicable,
63,Village of Naplate IL,N,0.32424266679686664,136.98855519138388,4/11/2017,4.75,12/1/2022,10000,3.0,136.98855519138388,40000.0,,92,La Salle, IL
64,City of Woodbury NJ,N,4.384332826693892,37.947167751200325,6/7/2017,3.0,5/1/2027,950000,2.35,37.947167751200325,30000.0,,40,Gloucester, NJ
65,State of California,N,4.630764977564456,24.88361372265324,9/12/2017,5.0,11/1/2027,36000000,2.1,24.88361372265324,115000.0,AA-,67,Sacramento, CA
66,San Luis Water District,N,0.9780202408690672,39.69438560183589,6/22/2017,5.0,8/1/2023,2400000,1.7000000000000002,39.69438560183589,600000.0,,83,Merced, CA
67,Fairfax County Water Authority,N,3.3238295468127768,-1.382779483609875,3/1/2017,5.0,4/1/2026,10265000,2.17,-1.382779483609875,30000.0,AAA,77,Fairfax, VA
68,Illinois Finance Authority,N,1.8273092242688873,25.517951576097108,9/12/2017,5.0,7/1/2024,16745000,1.67,25.517951576097108,125000.0,AAA,85,Cook, IL
69,City of Temple TX,N,1.9089028205153469,17.491364383561645,11/8/2017,5.0,8/1/2024,1300000,1.75,17.491364383561645,50000.0,,84,Bell, TX
70,County of Anne Arundel MD,N,2.0331292743983846,6.679443907138882,4/12/2017,5.0,10/1/2024,2125000,2.0100000000000002,6.679443907138882,40000.0,AAA,88,Anne Arundel, MD
71,City of Norfolk VA,N,1.0369463970685628,9.762191780821915,12/5/2017,5.0,9/1/2023,5510000,1.7000000000000002,9.762191780821915,20000.0,AA+,90,Norfolk, VA
72,City of Chandler AZ Excise Tax Revenue,N,0.8954127042351484,3.3870958904109516,12/19/2017,5.0,7/1/2023,1185000,1.78,3.3870958904109516,400000.0,AA+,92,Maricopa, AZ
73,City of Galveston TX,N,4.303760948233151,48.25556603786856,2/15/2017,4.0,5/1/2027,845000,2.82,48.25556603786856,100000.0,AA-,60,Galveston, TX
74,Texas Water Development Board,N,1.6193265024826307,15.746484931506831,10/12/2017,5.0,4/15/2024,26100000,1.6400000000000001,15.746484931506831,40000.0,AAA,92,Travis, TX
75,Casitas Municipal Water District,N,1.0417008378293593,48.329103241687775,5/31/2017,4.0,9/1/2023,395000,2.07,48.329103241687775,60000.0,,85,Ventura, CA
76,Town of Plymouth MA,N,0.730924303951301,18.58156773226316,5/4/2017,5.0,5/1/2023,2810000,1.71,18.58156773226316,40000.0,AA,92,Plymouth, MA
77,City of Herculaneum MO,N,0.20210185193503016,45.09168550347342,9/28/2017,3.0,10/15/2022,415000,1.6500000000000001,45.09168550347342,540000.0,,99,Jefferson, MO
78,City of Charlottesville VA,N,3.234834198273904,-6.740063499241877,6/29/2017,2.0,12/15/2025,690000,1.6400000000000001,-6.740063499241877,440000.0,AAA,53,Charlottesville, VA
79,Fairfax County Water Authority,N,0.6458416509671706,-5.228413870438331,3/1/2017,5.0,4/1/2023,5260000,1.7000000000000002,-5.228413870438331,30000.0,AAA,96,Fairfax, VA
80,City of Temple TX Utility System Revenue,N,3.6501848497435248,29.391518783506186,9/12/2017,5.0,8/1/2026,1525000,2.02,29.391518783506186,25000.0,,70,Bell, TX
81,Opelika Utilities Board,N,4.380665497959448,53.52423648174809,8/30/2017,4.0,6/1/2027,215000,2.37,53.52423648174809,100000.0,A+,25,Lee, AL
82,Texas Water Development Board,N,0.6843003855102935,15.670232876712342,10/12/2017,5.0,4/15/2023,24560000,1.5,15.670232876712342,60000.0,AAA,98,Travis, TX
83,South Dakota Conservancy District,N,2.802837133226551,5.924832456645324,8/23/2017,5.0,8/1/2025,4395000,1.72,5.924832456645324,50000.0,AAA,67,Hughes, SD
84,Town of Reading MA,N,1.7988433341612107,1.2159967389044235,6/30/2017,4.0,6/15/2024,715000,1.51,1.2159967389044235,90000.0,,89,Middlesex, MA
85,Town of Orleans MA,N,1.9871020165990942,1.1098164383561482,11/16/2017,5.0,9/15/2024,1535000,1.68,1.1098164383561482,170000.0,,86,Barnstable, MA
86,City of Waco TX,N,1.4481218306575414,27.4459809865097,4/1/2017,5.0,2/1/2024,1480000,2.32,27.4459809865097,110000.0,AA+,73,McLennan, TX
87,State of Vermont,N,1.9052558670996893,4.72141693095669,9/13/2017,5.0,8/15/2024,3065000,1.5,4.72141693095669,50000.0,AA+,88,Washington, VT
88,Charter Township of Lyon MI,N,0.7360983428679528,19.476498032801448,8/31/2017,2.0,5/1/2023,725000,1.45,19.476498032801448,20000.0,,82,Oakland, MI
89,Eufaula Water Works & Sewer Board,Y,1.604037261913459,42.095236618132034,3/30/2017,3.0,4/1/2024,320000,2.3000000000000003,42.095236618132034,260000.0,,87,Barbour, AL
90,New York State Environmental Facilities Corp,N,4.354223482512251,6.019161643835647,12/14/2017,5.0,6/15/2027,8015000,2.22,6.019161643835647,80000.0,AAA,70,Albany, NY
91,Village of Sands Point NY,N,0.32968052917597074,0.213027397260257,12/14/2017,2.0,12/1/2022,240000,1.72,0.213027397260257,100000.0,,94,Nassau, NY
92,Town of Plymouth MA,N,3.4075332307337263,21.46225655181069,5/4/2017,5.0,5/1/2026,2930000,2.21,21.46225655181069,50000.0,AA,78,Plymouth, MA
93,Town of Holden MA,N,2.6740122716985613,-2.2768391736424753,6/15/2017,5.0,6/15/2025,315000,1.6300000000000001,-2.2768391736424753,15000.0,,79,Worcester, MA
94,City of Rockville MD,N,2.6659372135890216,3.427230681643656,7/11/2017,4.0,6/1/2025,510000,1.6400000000000001,3.427230681643656,420000.0,AAA,76,Montgomery, MD
95,City of Richland WA Waterworks Utility Revenue,N,3.876769301682369,28.784836215314826,6/22/2017,4.0,11/1/2026,555000,2.06,28.784836215314826,20000.0,,57,Benton, WA
96,Town of Mattapoisett MA,N,0.991825526375173,-8.520791068781651,8/18/2017,5.0,8/15/2023,490000,1.28,-8.520791068781651,15000.0,,95,Plymouth, MA
97,State of Connecticut Clean Water Fund - State Revolving Fund,N,0.7309758244586615,12.132010607890354,6/15/2017,4.0,5/1/2023,2200000,1.42,12.132010607890354,50000.0,AAA,86,Hartford, CT
98,New York State Environmental Facilities Corp,N,3.528704538327592,8.547381802378018,4/13/2017,5.0,6/15/2026,20455000,2.39,8.547381802378018,100000.0,AAA,75,Albany, NY
99,Town of Mount Pleasant NY,N,1.606861495505771,11.41831217308955,4/12/2017,3.0,4/1/2024,595000,2.0,11.41831217308955,80000.0,,77,Westchester, NY
100,City of Trenton NJ,Y,3.3820188073031385,74.03479274346616,6/13/2017,3.0,3/15/2026,1120000,2.5,74.03479274346616,50000.0,AA-,48,Mercer, NJ
101,State of Rhode Island,N,2.5575109735024206,25.02285080891815,5/9/2017,5.0,5/1/2025,3980000,2.1,25.02285080891815,25000.0,AA,74,Providence, RI
102,Discovery Bay Public Financing Authority,N,4.707629061787556,25.122113376084965,4/19/2017,5.0,12/1/2027,250000,2.54,25.122113376084965,,,54,#N/A Field Not Applicable,
103,City of Brookfield WI,N,3.1971699629458077,5.531479362044323,6/5/2017,2.0,12/1/2025,340000,1.85,5.531479362044323,150000.0,,59,Waukesha, WI
104,City of Baltimore MD,N,3.5692863645522,36.56734500623236,2/9/2017,5.0,7/1/2026,3730000,2.69,36.56734500623236,30000.0,A+,77,Baltimore City, MD
105,City of Hutto TX,N,0.4930498687088537,25.226135113145155,6/29/2017,5.0,2/1/2023,1065000,1.55,25.226135113145155,20000.0,,94,Williamson, TX
106,City of San Francisco CA Public Utilities Commission Water Revenue,N,0.24673932836467258,-6.763986301369851,12/13/2017,5.0,11/1/2022,2835000,1.71,-6.763986301369851,175000.0,AA-,97,San Francisco, CA
107,Clark County Public Utility District No 1,N,1.3683374245295674,31.724873777648767,3/30/2017,5.0,1/1/2024,2405000,2.2800000000000002,31.724873777648767,50000.0,AA-,87,Clark, WA
108,Mesa Water District,N,0.6031624430503413,-0.38859651380949156,6/21/2017,5.0,3/15/2023,3385000,1.31,-0.38859651380949156,200000.0,AAA,86,Orange, CA
109,City of Miami Beach FL Water & Sewer Revenue,N,0.08050118820111901,20.04345205479452,12/14/2017,5.0,9/1/2022,1405000,1.96,20.04345205479452,50000.0,AA-,98,Dade, FL
110,New York State Environmental Facilities Corp,N,0.9999805759568668,0.8159452054794514,11/9/2017,4.0,8/15/2023,1015000,1.46,0.8159452054794514,60000.0,AAA,92,Albany, NY
111,Springfield Water & Sewer Commission/MA,N,2.5063945841239135,10.147652036761624,7/14/2017,5.0,4/15/2025,1055000,1.73,10.147652036761624,40000.0,,83,Hampden, MA
112,City of Norfolk VA,N,1.9509514813711213,8.346947945205496,12/5/2017,5.0,9/1/2024,5510000,1.79,8.346947945205496,15000.0,AA+,85,Norfolk, VA
113,Padre Dam Municipal Water District,N,0.16363443033687727,6.563986813292844,6/15/2017,5.0,10/1/2022,1610000,1.29,6.563986813292844,30000.0,AA+,95,San Diego, CA
114,Utah Water Finance Agency,N,2.3860119190640283,18.30081017979812,7/20/2017,5.0,3/1/2025,3475000,1.78,18.30081017979812,20000.0,AA,74,Salt Lake, UT
115,Colorado Water Resources & Power Development Authority,N,4.461957867618105,-0.15169589041099663,11/15/2017,5.0,9/1/2027,735000,2.0,-0.15169589041099663,30000.0,AAA,68,Denver, CO
116,Los Angeles Department of Water & Power Water System Revenue,N,0.8938250442730045,1.743587820882686,5/11/2017,5.0,7/1/2023,5245000,1.6,1.743587820882686,25000.0,AA,90,Los Angeles, CA
117,Santa Clara Valley Water District,N,0.4938890828064637,-2.8607153628451343,3/7/2017,5.0,2/1/2023,4350000,1.71,-2.8607153628451343,100000.0,AA+,93,Santa Clara, CA
118,City of Burlington VT Waterworks System Revenue,N,2.136443748329793,44.936645814676666,6/6/2017,4.0,11/1/2024,140000,2.08,44.936645814676666,10000.0,,70,Chittenden, VT
119,Town of Cary NC Combined Utility Systems Revenue,N,2.19967263945157,12.910814472545805,3/16/2017,5.0,12/1/2024,995000,2.12,12.910814472545805,40000.0,AAA,82,Wake, NC
120,Fairfax County Water Authority,N,1.5819061025335241,-4.624718959628038,3/1/2017,5.0,4/1/2024,5530000,1.86,-4.624718959628038,40000.0,AAA,89,Fairfax, VA
121,Texas Water Development Board,N,0.2017358869628664,32.38623136798906,10/12/2017,2.2,10/15/2022,530000,2.2,32.38623136798906,50000.0,AAA,97,Travis, TX
122,City of Buda TX,N,2.778741436304337,12.331389041095896,12/6/2017,5.0,8/15/2025,915000,1.87,12.331389041095896,25000.0,,74,Hays, TX
123,City of Manvel TX,N,2.3722714346300298,18.764898630136994,12/15/2017,4.0,2/15/2025,155000,2.1,18.764898630136994,20000.0,,72,Brazoria, TX
124,Illinois Finance Authority,N,1.3652022389584668,24.92087489934893,9/12/2017,5.0,1/1/2024,16585000,1.59,24.92087489934893,5000.0,AAA,89,Cook, IL
125,County of Union NC Enterprise System Revenue,N,0.8133872285828241,7.241198340410793,8/30/2017,5.0,6/1/2023,1985000,1.33,7.241198340410793,20000.0,AA,85,Union, NC
126,Board of Water Commissioners City & County of Denver/The,N,1.0748549473557598,2.702133958512354,5/23/2017,5.0,9/15/2023,2615000,1.62,2.702133958512354,40000.0,AAA,97,Denver, CO
127,Trinity River Authority Central Regional Wastewater System Revenue,N,0.9804609878596888,26.632274598331172,5/1/2017,3.0,8/1/2023,13995000,1.8800000000000001,26.632274598331172,20000.0,AAA,94,Tarrant, TX
128,Chester Metropolitan District,Y,0.815554533371392,21.735214831228355,3/8/2017,3.0,6/1/2023,430000,2.0,21.735214831228355,20000.0,,91,Chester, SC
129,Trinity River Authority Central Regional Wastewater System Revenue,N,0.005557139415900451,10.0269752491857,5/1/2017,5.0,8/1/2022,10785000,1.55,10.0269752491857,25000.0,AAA,99,Tarrant, TX
130,City of St Robert MO Waterworks & Sewerage System Revenue,Y,0.2465763470834627,49.22493686632827,6/28/2017,1.75,11/1/2022,55000,1.75,49.22493686632827,,,93,Pulaski, MO
131,City of Abilene TX,N,1.4548810098047629,22.01646020488084,7/1/2017,5.0,2/15/2024,745000,1.67,22.01646020488084,40000.0,AA+,83,Taylor, TX
132,City of Baltimore MD,N,2.7170649933835467,34.75416473875508,2/9/2017,5.0,7/1/2025,3555000,2.56,34.75416473875508,35000.0,A+,80,Baltimore City, MD
133,City of Fort Worth TX Water & Sewer System Revenue,N,0.5201284898063026,10.29881551676266,5/15/2017,5.0,2/15/2023,1855000,1.46,10.29881551676266,60000.0,AA,99,Tarrant, TX
134,City of Irving TX Waterworks & Sewer System Revenue,N,0.036103869317796265,22.06561645941727,4/4/2017,5.0,8/15/2022,780000,1.8800000000000001,22.06561645941727,10000.0,AA,95,Dallas, TX
135,Massachusetts Water Resources Authority,N,3.661244414331588,15.034328202584879,5/18/2017,5.0,8/1/2026,2345000,2.2,15.034328202584879,1945000.0,AA+,77,Suffolk, MA
136,Tulsa Metropolitan Utility Authority,N,2.3998806463499225,27.055715649431722,2/3/2017,3.0,2/1/2025,1990000,2.38,27.055715649431722,50000.0,AA+,55,Tulsa, OK
137,State of Rhode Island,N,4.233543367659244,23.67501982047426,5/9/2017,5.0,5/1/2027,4385000,2.35,23.67501982047426,60000.0,AA,60,Providence, RI
138,City of Abilene TX,N,2.346856569230089,21.346950236867592,7/1/2017,5.0,2/15/2025,785000,1.81,21.346950236867592,10000.0,AA+,77,Taylor, TX
139,Milwaukee Metropolitan Sewerage District,N,1.1205355740026908,7.697659742646645,6/12/2017,5.0,10/1/2023,3010000,1.54,7.697659742646645,50000.0,AA+,76,Milwaukee, WI
140,Iowa Finance Authority,N,3.6571341188767614,14.214306849315061,12/14/2017,5.0,8/1/2026,17620000,2.19,14.214306849315061,75000.0,AAA,76,Polk, IA
141,State of Vermont,N,2.782823445453972,-0.6080476534791268,9/13/2017,5.0,8/15/2025,4315000,1.58,-0.6080476534791268,300000.0,AA+,80,Washington, VT
142,Trinity River Authority Central Regional Wastewater System Revenue,N,4.558746556044382,31.263435475077863,5/1/2017,4.0,8/1/2027,8770000,2.5100000000000002,31.263435475077863,10000.0,AAA,67,Tarrant, TX
143,Yorba Linda Water District,N,2.902716745989919,5.202776910383644,5/11/2017,5.0,10/1/2025,1145000,1.99,5.202776910383644,25000.0,AA+,60,Orange, CA
144,County of Union NC Enterprise System Revenue,N,4.401495687031913,14.095616795823073,8/30/2017,4.0,6/1/2027,2415000,1.96,14.095616795823073,120000.0,AA,51,Union, NC
145,City of Salt Lake City UT Public Utilities Revenue,N,2.3632753473863537,16.23886927605076,4/5/2017,5.0,2/1/2025,3190000,2.18,16.23886927605076,10000.0,AA+,83,#N/A Field Not Applicable,
146,District of Columbia Water & Sewer Authority,N,3.7382531921836453,16.723665879091953,2/23/2017,5.0,10/1/2026,5535000,2.46,16.723665879091953,20000.0,AA+,77,District of Columbia, 11
147,Fort Bend County Municipal Utility District No 128,Y,0.08045018641262995,37.87119726027397,11/1/2017,2.0,9/1/2022,750000,1.75,37.87119726027397,20000.0,AA-,92,Fort Bend, TX
148,Colton Utility Authority,Y,3.2432344107415054,6.831124135892663,12/13/2017,5.0,3/1/2026,435000,2.17,,30000.0,,77,San Bernardino, CA
149,State of Connecticut Clean Water Fund - State Revolving Fund,N,2.5548016197904686,12.439987666267104,6/15/2017,5.0,5/1/2025,9750000,1.74,12.439987666267104,15000.0,AAA,68,Hartford, CT
150,Fort Bend County Municipal Utility District No 25,Y,2.0706728570728252,37.17025613536615,2/1/2017,3.0,10/1/2024,245000,2.3000000000000003,37.17025613536615,,A+,76,Fort Bend, TX
151,Illinois Finance Authority,N,3.9909058647105997,34.938107474621646,9/12/2017,5.0,1/1/2027,17205000,2.11,34.938107474621646,25000.0,AAA,70,Cook, IL
152,Paseo Del Este Municipal Utility District No 3,N,3.732792139542549,101.99569863013697,10/1/2017,3.0,8/15/2026,200000,2.9000000000000004,101.99569863013697,,,36,#N/A Field Not Applicable,
153,Washington Suburban Sanitary Commission,N,4.359327177774559,6.318972602739703,11/9/2017,5.0,6/15/2027,11650000,2.0300000000000002,6.318972602739703,45000.0,AAA,73,Prince George's, MD
154,South Dakota Conservancy District,N,1.9092962178384811,2.026493563720977,8/23/2017,5.0,8/1/2024,4190000,1.53,2.026493563720977,50000.0,AAA,76,Hughes, SD
