,CUSIP,Issuer Name,State Code,U.S. County Of Issuance,Mod Dur (Mid),Iss Spd Wst,Issue Date,Bond Purpose,Cpn,Maturity,Mty Size,Yield at Issue,Spread to AAA BVAL (%),YTW Sprd to Mty at Iss,Tax Prov,MSRB Volume,matches,USPS,NAME,INTPTLAT,INTPTLONG                                                                                                               
17,575829EZ5,Massachusetts Clean Water Trust/The,MA,"Suffolk, MA",1.900762238,-0.518630137,10/24/2019,SEWER IMPS. WATER UTILITY IMPS. GREEN PURPOSE,5,8/1/2024,4750000,1.17,#N/A Authorization,-0.518630137,FED & ST TAX-EXEMPT,10000,Suffolk County,MA,Suffolk County,42.338551,-71.018253
18,271014G97,East Bay Municipal Utility District Water System Revenue,CA,"San Mateo, CA",5.133305291,-17.61189041,6/27/2019,WATER UTILITY IMPS. GREEN PURPOSE,5,6/1/2028,3600000,1.39,#N/A Authorization,-17.61189041,FED & ST TAX-EXEMPT,710000,San Mateo County,CA,San Mateo County,37.414672,-122.371546
19,20775YEG7,State of Connecticut Clean Water Fund - State Revolving Fund,CT,"Hartford, CT",1.448909996,-1.993408219,7/9/2019,GREEN PURPOSE SEWER IMPS. WATER UTILITY IMPS.,5,2/1/2024,10310000,1.35,#N/A Authorization,-1.993408219,FED & ST TAX-EXEMPT,750000,Hartford County,CT,Hartford County,41.806053,-72.732916
20,340333LV3,City of Florence SC Combined Waterworks & Sewerage System Revenue,SC,"Florence, SC",5.992879133,18.10526849,10/3/2019,ADVANCE REFUNDING WATER UTILITY IMPS. SEWER IMPS.,5,9/1/2029,3495000,1.72,#N/A Authorization,18.10526849,FED & ST TAX-EXEMPT,40000,Florence County,SC,Florence County,34.028535,-79.710233
21,506498ZM9,City of Lafayette LA Utilities Revenue,LA,"Lafayette, LA",2.145045822,19.60597534,5/1/2019,ELEC. LT. & PWR. IMPTS. WATER UTILITY IMPS. SEWER IMPS.,5,11/1/2024,1460000,1.86,#N/A Authorization,19.60597534,FED & ST TAX-EXEMPT,125000,Lafayette County,LA,Lafayette Parish,30.206507,-92.06417
22,677660UW0,Ohio Water Development Authority,OH,"Franklin, OH",4.733897003,3.92290411,3/14/2019,WATER UTILITY IMPS. SEWER IMPS. GREEN PURPOSE,5,12/1/2027,20000000,2.04,#N/A Authorization,3.92290411,FED & ST TAX-EXEMPT,20000,Franklin County,OH,Franklin County,39.969875,-83.009086
23,64986DHZ1,New York State Environmental Facilities Corp,NY,"Albany, NY",1.817358186,4.652164384,10/8/2019,REFUNDING BONDS WATER UTILITY IMPS. GREEN PURPOSE,5,6/15/2024,12485000,1.29,#N/A Authorization,4.652164384,FED & ST TAX-EXEMPT,10000,Albany County,NY,Albany County,42.58824,-73.97401
24,67765QGG5,Ohio Water Development Authority,OH,"Franklin, OH",1.777909111,1.022736986,7/23/2019,WATER UTILITY IMPS.,5,6/1/2024,7000000,1.33,#N/A Authorization,1.022736986,FED & ST TAX-EXEMPT,60000,Franklin County,OH,Franklin County,39.969875,-83.009086
25,64972GUU6,New York City Municipal Water Finance Authority,NY,"New York, NY",6.047788905,11.48363288,12/12/2019,WATER UTILITY IMPS. SEWER IMPS.,4,6/15/2029,9660000,1.55,#N/A Authorization,11.48363288,FED & ST TAX-EXEMPT,20000,New York County,NY,New York County,40.776642,-73.970187
26,64986DJA4,New York State Environmental Facilities Corp,NY,"Albany, NY",2.711113638,4.164263014,10/8/2019,REFUNDING BONDS WATER UTILITY IMPS. GREEN PURPOSE,5,6/15/2025,13210000,1.31,#N/A Authorization,4.164263014,FED & ST TAX-EXEMPT,330000,Albany County,NY,Albany County,42.58824,-73.97401
27,581714XD9,City of McKinney TX Waterworks & Sewer System Revenue,TX,"Collin, TX",2.459580611,8.499548219,8/1/2019,WATER UTILITY IMPS. SEWER IMPS.,5,3/15/2025,1275000,1.09,#N/A Authorization,8.499548219,FED TAX-EXEMPT,260000,Collin County,TX,Collin County,33.194494,-96.579428
28,145681UK6,City of Carrollton TX Waterworks & Sewer System Revenue,TX,"Dallas, TX",5.034035726,21.4710137,5/1/2019,WATER UTILITY IMPS. SEWER IMPS.,5,5/1/2028,615000,2.05,#N/A Authorization,21.4710137,FED TAX-EXEMPT,165000,Dallas County,TX,Dallas County,32.766987,-96.778424
29,356502QD9,Township of Freehold NJ,NJ,"Monmouth, NJ",3.871513157,-0.429660274,11/4/2019,PUBLIC IMPS. WATER UTILITY IMPS. SEWER IMPS.,4,10/15/2026,1010000,1.3,#N/A Authorization,-0.429660274,FED & ST TAX-EXEMPT,1160000,Monmouth County,NJ,Monmouth County,40.287048,-74.152446
30,741530HL6,Prichard Water Works & Sewer Board,AL,"Mobile, AL",2.969191953,94.2971726,11/20/2019,WATER UTILITY IMPS. SEWER IMPS. CURRENT REFUNDING,5,11/1/2025,1255000,2.15,#N/A Authorization,94.2971726,FED & ST TAX-EXEMPT,230000,Mobile County,AL,Mobile County,30.684572,-88.196568
31,05922KZY8,City of Baltimore MD,MD,"Baltimore City, MD",2.754147542,17.75641918,5/29/2019,WATER UTILITY IMPS.,5,7/1/2025,2975000,1.72,#N/A Authorization,17.75641918,FED & ST TAX-EXEMPT,75000,Baltimore city,MD,Baltimore city,39.300032,-76.610476
32,14739HDN8,Cascade Water Alliance,WA,"King, WA",3.688739185,2.651819178,9/4/2019,CURRENT REFUNDING WATER UTILITY IMPS.,5,9/1/2026,2810000,1.12,#N/A Authorization,2.651819178,FED TAX-EXEMPT,110000,,WA,King County,47.490552,-121.833977
33,64972GUS1,New York City Municipal Water Finance Authority,NY,"New York, NY",4.382270046,5.674879452,12/12/2019,WATER UTILITY IMPS. SEWER IMPS.,5,6/15/2027,8765000,1.35,#N/A Authorization,5.674879452,FED & ST TAX-EXEMPT,145000,New York County,NY,New York County,40.776642,-73.970187
34,172311PB2,City of Cincinnati OH Water System Revenue,OH,"Hamilton, OH",4.744930615,8.922443836,11/26/2019,WATER UTILITY IMPS.,5,12/1/2027,1220000,1.54,#N/A Authorization,8.922443836,FED & ST TAX-EXEMPT,400000,Hamilton County,OH,Hamilton County,39.196927,-84.544187
35,93974D6H6,State of Washington,WA,"Thurston, WA",4.797187606,12.75406849,2/20/2019,SCHOOL IMPS. UNIV. & COLLEGE IMPS. WATER UTILITY IMPS.,5,2/1/2028,14420000,2.22,#N/A Authorization,12.75406849,FED TAX-EXEMPT,5000000,Thurston County,WA,Thurston County,46.935822,-122.830152
36,13034AZU7,California Infrastructure & Economic Development Bank,CA,"Sacramento, CA",1.153352458,-22.44337808,5/9/2019,GREEN PURPOSE WATER UTILITY IMPS.,5,10/1/2023,6410000,1.39,#N/A Authorization,-22.44337808,FED & ST TAX-EXEMPT,50000,Sacramento County,CA,Sacramento County,38.450136,-121.344329
37,64986DJB2,New York State Environmental Facilities Corp,NY,"Albany, NY",3.557318728,5.051454795,10/8/2019,REFUNDING BONDS WATER UTILITY IMPS. GREEN PURPOSE,5,6/15/2026,13960000,1.36,#N/A Authorization,5.051454795,FED & ST TAX-EXEMPT,60000,Albany County,NY,Albany County,42.58824,-73.97401
38,64972GUP7,New York City Municipal Water Finance Authority,NY,"New York, NY",1.816147444,1.689142466,12/12/2019,WATER UTILITY IMPS. SEWER IMPS.,5,6/15/2024,7645000,1.13,#N/A Authorization,1.689142466,FED & ST TAX-EXEMPT,10000,New York County,NY,New York County,40.776642,-73.970187
39,023339HJ6,Ambridge Borough Water Authority,PA,"Beaver, PA",3.097117809,51.43004822,8/29/2019,CURRENT REFUNDING WATER UTILITY IMPS.,4,11/15/2025,655000,1.51,#N/A Authorization,51.43004822,FED & ST TAX-EXEMPT,150000,Beaver County,PA,Beaver County,40.68414,-80.350721
40,576051YF7,Massachusetts Water Resources Authority,MA,"Suffolk, MA",1.900137276,,5/22/2019,WATER UTILITY IMPS. SEWER IMPS.,5,8/1/2024,10000000,1.58,#N/A Authorization,,FED & ST TAX-EXEMPT,505000,Suffolk County,MA,Suffolk County,42.338551,-71.018253
41,952531DV0,City of West Des Moines IA,IA,"Polk, IA",2.668394824,5.566564384,6/20/2019,PUBLIC IMPS. SEWER IMPS. WATER UTILITY IMPS.,5,6/1/2025,1170000,1.5,#N/A Authorization,5.566564384,FED & ST TAX-EXEMPT,300000,,IA,Polk County,41.684816,-93.568971
42,05922KZZ5,City of Baltimore MD,MD,"Baltimore City, MD",3.606171054,17.94059178,5/29/2019,WATER UTILITY IMPS.,5,7/1/2026,3120000,1.75,#N/A Authorization,17.94059178,FED & ST TAX-EXEMPT,350000,Baltimore city,MD,Baltimore city,39.300032,-76.610476
43,181126MH3,Clark County Public Utility District No 1,WA,"Clark, WA",3.181396974,21.60325479,10/30/2019,WATER UTILITY IMPS.,5,1/1/2026,435000,1.43,#N/A Authorization,21.60325479,FED TAX-EXEMPT,30000,,WA,Clark County,45.77173,-122.485953
44,575829FE1,Massachusetts Clean Water Trust/The,MA,"Suffolk, MA",5.921513237,8.572731507,10/24/2019,SEWER IMPS. WATER UTILITY IMPS. GREEN PURPOSE,5,8/1/2029,9150000,1.53,#N/A Authorization,8.572731507,FED & ST TAX-EXEMPT,95000,Suffolk County,MA,Suffolk County,42.338551,-71.018253
45,717893N23,City of Philadelphia PA Water & Wastewater Revenue,PA,"Philadelphia, PA",3.849187517,12.9220274,8/14/2019,WATER UTILITY IMPS. SEWER IMPS.,5,11/1/2026,11145000,1.31,#N/A Authorization,12.9220274,FED & ST TAX-EXEMPT,150000,Philadelphia County,PA,Philadelphia County,40.009376,-75.133346
46,45506DZ24,Indiana Finance Authority,IN,"Marion, IN",5.53857597,3.356553425,6/4/2019,WATER UTILITY IMPS. SEWER IMPS. GREEN PURPOSE,5,2/1/2029,3220000,1.75,#N/A Authorization,3.356553425,FED & ST TAX-EXEMPT,25000,Marion County,IN,Marion County,39.782976,-86.135794
47,54659RDY4,Louisville Water Co,KY,"Jefferson, KY",1.274009467,1.428567123,10/30/2019,CURRENT REFUNDING WATER UTILITY IMPS.,5,11/15/2023,9490000,1.18,#N/A Authorization,1.428567123,FED & ST TAX-EXEMPT,10000000,Jefferson County,KY,Jefferson County,38.189532,-85.657624
48,882854W99,Texas Water Development Board,TX,"Travis, TX",3.396985855,9.776268493,10/10/2019,WATER UTILITY IMPS. SEWER IMPS. GREEN PURPOSE,5,4/15/2026,7520000,1.4,#N/A Authorization,9.776268493,FED TAX-EXEMPT,20000,Travis County,TX,Travis County,30.239513,-97.69127
49,64986DHY4,New York State Environmental Facilities Corp,NY,"Albany, NY",0.884885878,2.285276712,10/8/2019,REFUNDING BONDS WATER UTILITY IMPS. GREEN PURPOSE,5,6/15/2023,11805000,1.27,#N/A Authorization,2.285276712,FED & ST TAX-EXEMPT,225000,Albany County,NY,Albany County,42.58824,-73.97401
50,416489VN9,Metropolitan District/The,CT,"Hartford, CT",5.241186531,30.25578082,8/8/2019,SEWER IMPS. WATER UTILITY IMPS. PUBLIC IMPS.,5,7/15/2028,3825000,1.76,#N/A Authorization,30.25578082,FED & ST TAX-EXEMPT,25000,Hartford County,CT,Hartford County,41.806053,-72.732916
51,704883XH5,City of Pearland TX Waterworks & Sewer System Revenue,TX,"Brazoria, TX",5.980259589,32.49292603,8/1/2019,CURRENT REFUNDING WATER UTILITY IMPS. SEWER IMPS.,5,9/1/2029,4550000,1.86,#N/A Authorization,32.49292603,FED TAX-EXEMPT,1020000,Brazoria County,TX,Brazoria County,29.167817,-95.434647
52,585089QW8,Town of Medway MA,MA,"Norfolk, MA",2.855393009,-3.677950685,9/12/2019,PUBLIC IMPS. WATER UTILITY IMPS. REFUNDING NOTES,5,9/1/2025,815000,0.97,#N/A Authorization,-3.677950685,FED & ST TAX-EXEMPT,180000,Norfolk County,MA,Norfolk County,42.171738,-71.18111
53,677660UU4,Ohio Water Development Authority,OH,"Franklin, OH",3.932660785,3.386520548,3/14/2019,WATER UTILITY IMPS. SEWER IMPS. GREEN PURPOSE,5,12/1/2026,20000000,1.94,#N/A Authorization,3.386520548,FED & ST TAX-EXEMPT,30000,Franklin County,OH,Franklin County,39.969875,-83.009086
54,45204EW95,Illinois Finance Authority,IL,"Cook, IL",5.953156203,26.38583836,4/16/2019,GREEN PURPOSE SEWER IMPS. WATER UTILITY IMPS.,5,7/1/2029,13910000,2.19,#N/A Authorization,26.38583836,FED TAX-EXEMPT/ST TAXABLE,30000,,IL,Cook County,41.894294,-87.645455
55,64972GUR3,New York City Municipal Water Finance Authority,NY,"New York, NY",3.560985786,5.629920548,12/12/2019,WATER UTILITY IMPS. SEWER IMPS.,5,6/15/2026,8345000,1.28,#N/A Authorization,5.629920548,FED & ST TAX-EXEMPT,250000,New York County,NY,New York County,40.776642,-73.970187
56,13063DKL1,State of California,CA,"Sacramento, CA",0.68422677,1.693632877,3/14/2019,WATER UTILITY IMPS.,4,4/1/2023,14395000,1.68,#N/A Authorization,1.693632877,FED & ST TAX-EXEMPT,1650000,Sacramento County,CA,Sacramento County,38.450136,-121.344329
57,9401572J8,Washington Suburban Sanitary Commission,MD,"Prince George's, MD",4.342624734,2.607934247,12/23/2019,WATER UTILITY IMPS. SEWER IMPS.,5,6/1/2027,4220000,1.28,#N/A Authorization,2.607934247,FED & ST TAX-EXEMPT,250000,Prince George's County,MD,Prince George's County,38.829278,-76.848188
58,13034AZT0,California Infrastructure & Economic Development Bank,CA,"Sacramento, CA",0.196950708,-22.1706274,5/9/2019,GREEN PURPOSE WATER UTILITY IMPS.,5,10/1/2022,6040000,1.36,#N/A Authorization,-22.1706274,FED & ST TAX-EXEMPT,600000,Sacramento County,CA,Sacramento County,38.450136,-121.344329
59,67920QUK2,Oklahoma Water Resources Board,OK,"Oklahoma, OK",1.158357659,8.730191781,7/30/2019,SEWER IMPS. WATER UTILITY IMPS. PUBLIC IMPS.,4,10/1/2023,920000,1.27,#N/A Authorization,8.730191781,FED & ST TAX-EXEMPT,100000,Oklahoma County,OK,Oklahoma County,35.554611,-97.409401
60,46246K5R9,Iowa Finance Authority,IA,"Polk, IA",0.98773316,4.764224658,2/26/2019,WATER UTILITY IMPS. REFUNDING BONDS GREEN PURPOSE,5,8/1/2023,5690000,1.74,#N/A Authorization,4.764224658,FED & ST TAX-EXEMPT,60000,,IA,Polk County,41.684816,-93.568971
61,296809SU1,Essex County Improvement Authority,NJ,"Essex, NJ",3.018516125,7.665542466,11/7/2019,WATER UTILITY IMPS.,5,11/1/2025,1470000,1.32,#N/A Authorization,7.665542466,FED & ST TAX-EXEMPT,30000,,NJ,Essex County,40.7874,-74.246292
62,20775YEK8,State of Connecticut Clean Water Fund - State Revolving Fund,CT,"Hartford, CT",3.19424873,4.673567123,7/9/2019,GREEN PURPOSE SEWER IMPS. WATER UTILITY IMPS.,5,2/1/2026,13250000,1.48,#N/A Authorization,4.673567123,FED & ST TAX-EXEMPT,105000,Hartford County,CT,Hartford County,41.806053,-72.732916
63,160429XE1,City of Charleston SC Waterworks & Sewer System Revenue,SC,"Charleston, SC",4.020905557,4.971389041,7/25/2019,WATER UTILITY IMPS. SEWER IMPS.,5,1/1/2027,2780000,1.47,#N/A Authorization,4.971389041,FED & ST TAX-EXEMPT,125000,Charleston County,SC,Charleston County,32.800458,-79.94248
64,576051VK9,Massachusetts Water Resources Authority,MA,"Suffolk, MA",6.295077821,79.44138133,11/1/2019,WATER UTILITY IMPS. SEWER IMPS. GREEN PURPOSE,2.323,8/1/2029,2040000,2.323,#N/A Authorization,79.44138133,FED TAXABLE/ST TAX-EXEMPT,25000,Suffolk County,MA,Suffolk County,42.338551,-71.018253
65,150591JM8,City of Cedar Rapids IA Water Revenue,IA,"Linn, IA",0.845316451,7.831712329,6/17/2019,WATER UTILITY IMPS. CURRENT REFUNDING,5,6/1/2023,505000,1.6,#N/A Authorization,7.831712329,FED TAX-EXEMPT/ST TAXABLE,600000,,IA,Linn County,42.077951,-91.597674
66,677660US9,Ohio Water Development Authority,OH,"Franklin, OH",3.100714064,3.37039726,3/14/2019,WATER UTILITY IMPS. SEWER IMPS. GREEN PURPOSE,5,12/1/2025,20000000,1.85,#N/A Authorization,3.37039726,FED & ST TAX-EXEMPT,65000,Franklin County,OH,Franklin County,39.969875,-83.009086
67,20775YEE2,State of Connecticut Clean Water Fund - State Revolving Fund,CT,"Hartford, CT",0.515481859,-2.175158904,7/9/2019,GREEN PURPOSE SEWER IMPS. WATER UTILITY IMPS.,5,2/1/2023,11015000,1.33,#N/A Authorization,-2.175158904,FED & ST TAX-EXEMPT,2000000,Hartford County,CT,Hartford County,41.806053,-72.732916
68,906400ER3,County of Union NC Enterprise System Revenue,NC,"Union, NC",3.525326901,5.205331507,5/30/2019,WATER UTILITY IMPS. SEWER IMPS.,5,6/1/2026,2450000,1.62,#N/A Authorization,5.205331507,FED & ST TAX-EXEMPT,25000,,NC,Union County,34.99182,-80.530426
69,95736U8C1,County of Westchester NY,NY,"Westchester, NY",4.777378258,-16.74503014,12/18/2019,SEWER IMPS. WATER UTILITY IMPS. RESOURCE RECOVERY IMPS.,5,12/15/2027,1140000,1.16,#N/A Authorization,-16.74503014,FED & ST TAX-EXEMPT,40000,Westchester County,NY,Westchester County,41.152686,-73.745753
70,67765QGS9,Ohio Water Development Authority,OH,"Franklin, OH",5.869270806,18.45234247,7/23/2019,WATER UTILITY IMPS.,5,6/1/2029,6555000,1.78,#N/A Authorization,18.45234247,FED & ST TAX-EXEMPT,20000,Franklin County,OH,Franklin County,39.969875,-83.009086
71,034286BN3,Town of Andover MA,MA,"Essex, MA",2.977454735,-10.82031233,12/18/2019,WATER UTILITY IMPS. PUBLIC FACILITIES REFUNDING NOTES,5,10/15/2025,495000,1.1,#N/A Authorization,-10.82031233,FED & ST TAX-EXEMPT,110000,,MA,Essex County,42.642708,-70.864909
72,348172TP2,City of Fort Myers FL Utility System Revenue,FL,"Lee, FL",1.158289438,12.96030137,9/19/2019,WATER UTILITY IMPS. SEWER IMPS. CURRENT REFUNDING,4,10/1/2023,4030000,1.09,#N/A Authorization,12.96030137,FED TAX-EXEMPT,660000,,FL,Lee County,26.563273,-81.984182
73,561484WM4,Town of Mamaroneck NY,NY,"Westchester, NY",4.485839115,-6.251989041,9/17/2019,PUBLIC IMPS. WATER UTILITY IMPS. BRIDGES,5,9/1/2027,175000,1.07,#N/A Authorization,-6.251989041,FED BQ/ST TAX-EXEMPT,90000,Westchester County,NY,Westchester County,41.152686,-73.745753
74,882854W81,Texas Water Development Board,TX,"Travis, TX",2.975318873,6.938827397,10/10/2019,WATER UTILITY IMPS. SEWER IMPS. GREEN PURPOSE,5,10/15/2025,6445000,1.35,#N/A Authorization,6.938827397,FED TAX-EXEMPT,200000,Travis County,TX,Travis County,30.239513,-97.69127
75,5870572G4,Village of Menomonee Falls WI,WI,"Waukesha, WI",0.517929096,33.32260548,7/10/2019,CURRENT REFUNDING WATER UTILITY IMPS.,3.5,2/1/2023,155000,1.7,#N/A Authorization,33.32260548,FED BQ/ST TAXABLE,155000,Waukesha County,WI,Waukesha County,43.018368,-88.30424
76,306801N56,Town of Falmouth MA,MA,"Barnstable, MA",1.4489202,-6.597282192,12/12/2019,REFUNDING NOTES CURRENT REFUNDING WATER UTILITY IMPS.,5,2/1/2024,1960000,1.03,#N/A Authorization,-6.597282192,FED & ST TAX-EXEMPT,150000,Barnstable County,MA,Barnstable County,41.706123,-70.164823
77,45204EV62,Illinois Finance Authority,IL,"Cook, IL",1.399350298,22.19149315,4/16/2019,GREEN PURPOSE SEWER IMPS. WATER UTILITY IMPS.,5,1/1/2024,12260000,1.81,#N/A Authorization,22.19149315,FED TAX-EXEMPT/ST TAXABLE,150000,,IL,Cook County,41.894294,-87.645455
78,45204EV70,Illinois Finance Authority,IL,"Cook, IL",1.859926146,22.0591589,4/16/2019,GREEN PURPOSE SEWER IMPS. WATER UTILITY IMPS.,5,7/1/2024,12500000,1.83,#N/A Authorization,22.0591589,FED TAX-EXEMPT/ST TAXABLE,30000,,IL,Cook County,41.894294,-87.645455
79,228111WD8,City of Crowley TX,TX,"Tarrant, TX",4.890604321,50.34111781,10/1/2019,WATER UTILITY IMPS. SEWER IMPS.,4,2/1/2028,380000,1.85,#N/A Authorization,50.34111781,FED BQ,80000,Tarrant County,TX,Tarrant County,32.772119,-97.291224
80,65552PBA6,Norco Financing Authority,CA,"Riverside, CA",3.770018495,-9.498715068,12/18/2019,CURRENT REFUNDING WATER UTILITY IMPS. SEWER IMPS.,5,10/1/2026,1275000,1.15,#N/A Authorization,-9.498715068,FED & ST TAX-EXEMPT,150000,Riverside County,CA,Riverside County,33.729828,-116.002239
81,45506D5M3,Indiana Finance Authority,IN,"Marion, IN",4.797171558,5.341117808,10/10/2019,GREEN PURPOSE WATER UTILITY IMPS.,5,2/1/2028,12020000,1.4,#N/A Authorization,5.341117808,FED & ST TAX-EXEMPT,40000,Marion County,IN,Marion County,39.782976,-86.135794
82,306801N98,Town of Falmouth MA,MA,"Barnstable, MA",4.795653463,-4.622734247,12/12/2019,REFUNDING NOTES CURRENT REFUNDING WATER UTILITY IMPS.,5,2/1/2028,1310000,1.29,#N/A Authorization,-4.622734247,FED & ST TAX-EXEMPT,35000,Barnstable County,MA,Barnstable County,41.706123,-70.164823
83,685349GP1,Orange Water & Sewer Authority,NC,"Orange, NC",4.336949896,7.861657534,12/12/2019,WATER UTILITY IMPS. SEWER IMPS.,5,6/1/2027,525000,1.47,#N/A Authorization,7.861657534,FED & ST TAX-EXEMPT,20000,Orange County,NC,Orange County,36.062525,-79.120033
84,800618BC3,City of Sanford NC Utility Systems Revenue,NC,"Lee, NC",3.519633631,,6/13/2019,ADVANCE REFUNDING SEWER IMPS. WATER UTILITY IMPS.,5,6/1/2026,1935000,1.65,#N/A Authorization,,FED & ST TAX-EXEMPT,200000,,NC,Lee County,35.476336,-79.172117
